,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio
0,fahadinator,4,22,0,False,False,False,1.0,5.5,inf,inf
1,mr_mente_official,3039,96,31,False,False,False,0.8823529411764706,0.0315893385982231,3.096774193548387,98.03225806451613
2,qp_lee_qp,139,668,34,False,False,False,0.7777777777777778,4.805755395683454,19.647058823529413,4.088235294117647
3,vivid_blankness,8,61,1,False,False,False,0.9333333333333333,7.625,61.0,8.0
4,ernstjaschon,261,517,26,False,False,False,1.0,1.9808429118773947,19.884615384615383,10.038461538461538
5,i.n.n.o.c.e.n.t_aryan,109,19,5,True,False,False,0.6190476190476191,0.1743119266055046,3.8,21.8
6,tashwini_22,250,263,5,True,True,True,0.7272727272727273,1.052,52.6,50.0
7,ali.alone6518,1001,3915,17,False,True,True,0.6153846153846154,3.911088911088911,230.2941176470588,58.88235294117647
8,fredbear.0408,303,554,8,False,True,True,0.6153846153846154,1.8283828382838283,69.25,37.875
9,razrninja,279,316,74,False,False,False,1.0,1.1326164874551972,4.27027027027027,3.77027027027027
10,__infinitesimal,91,103,7,False,False,False,0.8666666666666667,1.1318681318681318,14.714285714285714,13.0
11,sefa_eyvazov,3120,916,86,False,False,False,0.9166666666666666,0.2935897435897436,10.651162790697674,36.27906976744186
12,m_saqibb,108,220,20,True,False,False,0.875,2.037037037037037,11.0,5.4
13,axwbb90,174,215,51,True,True,True,0.7142857142857143,1.235632183908046,4.215686274509804,3.411764705882353
14,englishmanphotography,3851,1412,92,False,False,False,1.0,0.3666580109062581,15.347826086956522,41.858695652173914
15,rishab_batra_studios,11,123,5,False,False,False,0.9,11.181818181818182,24.6,2.2
16,bhanderiyaaryan,243,2637,3,False,False,False,1.0,10.851851851851851,879.0,81.0
17,mo_st__,19800,1724,12,False,False,False,0.5714285714285714,0.08707070707070708,143.66666666666666,1650.0
18,thestephenson,136,278,13,False,False,False,1.0,2.0441176470588234,21.384615384615383,10.461538461538462
19,green_nils,31,47,8,True,False,False,0.9,1.5161290322580645,5.875,3.875
20,tonykurishinkal,556,664,384,True,False,False,1.0,1.1942446043165467,1.7291666666666667,1.4479166666666667
21,buds702farm,573,1574,48,True,True,False,0.7272727272727273,2.7469458987783595,32.791666666666664,11.9375
22,yudyrodriguezoficial,4678,600,154,False,False,False,1.0,0.12825994014536127,3.896103896103896,30.376623376623378
23,benerific,80,204,105,False,False,False,1.0,2.55,1.9428571428571428,0.7619047619047619
24,nilsvandooren,68,56,0,False,False,False,1.0,0.8235294117647058,inf,inf
25,gavinjlim,121,132,3,False,False,False,1.0,1.0909090909090908,44.0,40.333333333333336
26,a.mateen.03,867,173,24,False,True,True,0.6363636363636364,0.19953863898500576,7.208333333333333,36.125
27,zwergnase_youtube,514,5321,3,False,False,False,0.9411764705882353,10.352140077821012,1773.6666666666667,171.33333333333334
28,radin_auto,1329,2337,243,False,False,False,0.9,1.7584650112866818,9.617283950617283,5.469135802469136
29,singhnavik,446,2961,50,False,False,False,1.0,6.639013452914798,59.22,8.92
30,holl.b_ly873,284,708,14,True,True,True,0.5833333333333334,2.492957746478873,50.57142857142857,20.285714285714285
31,andre.bozesan,151,150,36,True,False,False,0.9230769230769231,0.9933774834437086,4.166666666666667,4.194444444444445
32,lang.10.06.18,927,2715,95,False,True,True,0.3076923076923077,2.928802588996764,28.57894736842105,9.757894736842106
33,ryan_carpenter06,352,2001,151,False,True,True,0.8125,5.684659090909091,13.251655629139073,2.3311258278145695
34,bayleaf64,65,171,14,True,True,True,0.7777777777777778,2.6307692307692307,12.214285714285714,4.642857142857143
35,vincentgroenewold,50,60,20,False,False,False,1.0,1.2,3.0,2.5
36,k8__nz,1587,1348,2122,False,True,False,0.5,0.84940138626339,0.6352497643732328,0.7478793590951932
37,gusein_gasanov_7,286,329,42,False,True,True,0.8125,1.1503496503496504,7.833333333333333,6.809523809523809
38,nikitha.mohan_,106,653,6,True,False,False,0.8571428571428571,6.160377358490566,108.83333333333333,17.666666666666668
39,sans.1908,244,289,8,True,True,True,0.4444444444444444,1.1844262295081966,36.125,30.5
40,tolstoy_99,74,640,1,False,True,True,0.7,8.64864864864865,640.0,74.0
41,justmilan6969,131,297,15,True,True,True,0.6923076923076923,2.267175572519084,19.8,8.733333333333333
42,noah_worthington23,795,1428,42,True,True,True,0.8333333333333334,1.7962264150943397,34.0,18.928571428571427
43,christine_walters,196,267,51,True,False,False,0.9411764705882353,1.3622448979591837,5.235294117647059,3.843137254901961
44,agus2508,396,920,59,False,True,True,0.5,2.323232323232323,15.59322033898305,6.711864406779661
45,youngkush.a.k.a.chusterfield,17400,487,52,False,False,False,0.8571428571428571,0.027988505747126437,9.365384615384615,334.61538461538464
46,gracy_grace_18,0,596,0,True,True,True,0.7142857142857143,inf,inf,inf
47,parasvyas20,137,383,5,True,True,True,0.8181818181818182,2.795620437956204,76.6,27.4
48,suru__street_777,869,281,144,False,True,True,0.625,0.3233601841196778,1.9513888888888888,6.034722222222222
49,gerogersdorff,183,168,93,False,False,False,1.0,0.9180327868852459,1.8064516129032258,1.967741935483871
50,fr_ank6339,191,1809,119,False,True,True,0.5,9.471204188481675,15.201680672268907,1.6050420168067228
51,arfosmusic,622,904,9,False,False,False,1.0,1.4533762057877813,100.44444444444444,69.11111111111111
