,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio
0,g.ervin20,16,15,0,False,True,True,0.6666666666666666,0.9375,inf,inf
1,_sarapirda_,1018,712,79,True,False,False,0.8181818181818182,0.6994106090373281,9.012658227848101,12.886075949367088
2,jonathan_ss177,51,190,0,False,True,True,0.7142857142857143,3.7254901960784315,inf,inf
3,mari_raele,19400,632,347,False,False,False,0.9,0.03257731958762886,1.8213256484149856,55.90778097982709
4,alena_kkkkkk,787,253,99,False,False,False,0.9166666666666666,0.32147395171537485,2.5555555555555554,7.94949494949495
5,tresyaandriani,3424,667,4,False,False,False,1.0,0.19480140186915887,166.75,856.0
6,ellarilia,775,112,8,False,False,False,1.0,0.14451612903225808,14.0,96.875
7,sayyedzaid4080,461,311,31,False,True,True,0.7142857142857143,0.6746203904555315,10.03225806451613,14.870967741935484
8,san_ricky_ben_ng_,512,899,31,True,False,False,0.7647058823529411,1.755859375,29.0,16.516129032258064
9,itsmohammeds,154,81,0,False,False,False,1.0,0.525974025974026,inf,inf
10,venus.vs.mars,2305,274,2522,False,False,False,0.8461538461538461,0.11887201735357918,0.10864393338620143,0.9139571768437748
11,deivy.md,340,344,13,False,False,False,0.875,1.011764705882353,26.46153846153846,26.153846153846153
12,adesh_palve_2001,147,253,47,False,True,True,0.625,1.7210884353741496,5.382978723404255,3.127659574468085
13,afp_sn,8786,236,113,False,False,False,0.8333333333333334,0.026860915092192125,2.088495575221239,77.75221238938053
14,xx_seu_xx,95,17,0,True,False,False,0.7777777777777778,0.17894736842105263,inf,inf
15,afiq_nadvi,2722,71,3,True,False,False,0.9,0.026083761939750184,23.666666666666668,907.3333333333334
16,verzhelenko,3181,214,273,False,False,False,1.0,0.06727444199937127,0.7838827838827839,11.652014652014651
17,in__s.k__,376,278,30,False,False,False,0.4444444444444444,0.7393617021276596,9.266666666666667,12.533333333333333
18,miaasfya._,848,336,0,False,False,False,0.8,0.39622641509433965,inf,inf
19,sovethan_temirlan,639,164,12,False,False,False,0.9411764705882353,0.2566510172143975,13.666666666666666,53.25
20,evolution.bmw,940,550,3,False,False,False,0.9230769230769231,0.5851063829787234,183.33333333333334,313.3333333333333
21,nayrhss.edits_,54,36,1,False,False,False,0.8571428571428571,0.6666666666666666,36.0,54.0
22,gabrielreynaudsabat,183,193,40,True,False,False,1.0,1.0546448087431695,4.825,4.575
23,jordyggb,15200,408,517,False,False,False,1.0,0.026842105263157896,0.7891682785299806,29.400386847195357
24,hjjd_bhd,0,5,0,False,False,False,0.875,inf,inf,inf
25,_aryamaula,987,1015,6,False,False,False,0.9,1.0283687943262412,169.16666666666666,164.5
26,luigi.braccioforte,101,210,0,False,False,False,0.9444444444444444,2.0792079207920793,inf,inf
27,za_rza,538,233,14,False,False,False,0.8333333333333334,0.43308550185873607,16.642857142857142,38.42857142857143
28,l00t_,7677,328,8,False,True,False,0.4,0.04272502279536277,41.0,959.625
29,masha__dream_,234,33,28,False,False,False,0.7692307692307693,0.14102564102564102,1.1785714285714286,8.357142857142858
30,bekhruz.8,402,458,6,False,True,True,0.7777777777777778,1.1393034825870647,76.33333333333333,67.0
31,adriantoncetich,735,529,480,False,False,False,1.0,0.7197278911564626,1.1020833333333333,1.53125
32,fatih.photographer,694,56,24,False,False,False,0.9444444444444444,0.08069164265129683,2.3333333333333335,28.916666666666668
33,ins_ta_er,448,0,2,False,False,False,0.7777777777777778,0.0,0.0,224.0
34,fatinhasrina,89,284,27,True,False,False,1.0,3.191011235955056,10.518518518518519,3.2962962962962963
35,merocord,3063,221,18,False,False,False,1.0,0.07215148547175972,12.277777777777779,170.16666666666666
36,manishsharma5397,367,155,25,False,True,True,0.75,0.4223433242506812,6.2,14.68
37,meylani_pakaya10,91,171,13,False,True,True,0.8125,1.879120879120879,13.153846153846153,7.0
38,juancho1511,4695,2421,610,False,True,True,0.6363636363636364,0.5156549520766773,3.9688524590163934,7.69672131147541
39,_thaodaynay_,24,491,0,True,False,False,0.8333333333333334,20.458333333333332,inf,inf
40,sm.yh4769,117,1395,41,True,True,True,0.4444444444444444,11.923076923076923,34.02439024390244,2.8536585365853657
