,ID,Followers,Following,Posts,Is private,ID has number,ID has number at end,ID letter ratio,Following/follower ratio,Following/post ratio,Follower/post ratio
0,capucine_mineau,13,21,0,True,False,False,0.9333333333333333,1.6153846153846154,inf,inf
1,3jedgcm,34,34,9,False,True,False,0.8571428571428571,1.0,3.7777777777777777,3.7777777777777777
2,jezabel031,1,23,1,False,True,True,0.7,23.0,23.0,1.0
3,tony.brunel,4,15,0,True,False,False,0.9090909090909091,3.75,inf,inf
4,team.ast,113,387,0,False,False,False,0.875,3.424778761061947,inf,inf
5,lira.wong,13,50,2,False,False,False,0.8888888888888888,3.8461538461538463,25.0,6.5
6,nathanassouline_,156,899,0,False,False,False,0.9375,5.762820512820513,inf,inf
7,lopezswann,12,2,0,False,False,False,1.0,0.16666666666666666,inf,inf
8,pirodragi,28,38,0,False,False,False,1.0,1.3571428571428572,inf,inf
9,julien.briquet.169,18,52,2,False,True,True,0.7222222222222222,2.888888888888889,26.0,9.0
10,liuchan59,5,128,10,True,True,True,0.7777777777777778,25.6,12.8,0.5
11,antjo.rpd,0,32,0,True,False,False,0.8888888888888888,inf,inf,inf
12,ninnin.38,1,6,0,True,True,True,0.6666666666666666,6.0,inf,inf
13,rakainu,1024,500,20,False,False,False,1.0,0.48828125,25.0,51.2
14,delcapio40_,123,150,1,False,True,False,0.7272727272727273,1.2195121951219512,150.0,123.0
15,florian_ltrn_,98,234,0,False,False,False,0.8461538461538461,2.3877551020408165,inf,inf
16,neko_des_enfers,66,84,9,True,False,False,0.8666666666666667,1.2727272727272727,9.333333333333334,7.333333333333333
17,ash06ash,69,145,35,False,True,False,0.75,2.101449275362319,4.142857142857143,1.9714285714285715
18,wihawk7,26,34,0,False,True,True,0.8571428571428571,1.3076923076923077,inf,inf
19,sauterjordan,46,73,4,True,False,False,1.0,1.5869565217391304,18.25,11.5
20,leclercbrice76,56,106,9,False,True,True,0.8571428571428571,1.8928571428571428,11.777777777777779,6.222222222222222
21,fabcribier,36,216,74,True,False,False,1.0,6.0,2.918918918918919,0.4864864864864865
22,skoowz_5,63,606,1,False,True,True,0.75,9.619047619047619,606.0,63.0
23,ahcas_cyan,48,20,2,True,False,False,0.9,0.4166666666666667,10.0,24.0
24,lucas.olivier302,17,46,0,True,True,True,0.75,2.7058823529411766,inf,inf
25,atlaouimaamer,608,2877,36,True,False,False,1.0,4.7319078947368425,79.91666666666667,16.88888888888889
26,cw_jack_of_spades,99,153,10,False,False,False,0.8235294117647058,1.5454545454545454,15.3,9.9
27,witabinks,178,406,31,False,False,False,1.0,2.2808988764044944,13.096774193548388,5.741935483870968
28,doshin_editions,128,210,14,False,False,False,0.9333333333333333,1.640625,15.0,9.142857142857142
29,__you_one__,84,225,24,True,False,False,0.5454545454545454,2.6785714285714284,9.375,3.5
30,alex_boiz,151,287,6,True,False,False,0.8888888888888888,1.900662251655629,47.833333333333336,25.166666666666668
31,raven_bloood,99,164,9,True,False,False,0.9166666666666666,1.6565656565656566,18.22222222222222,11.0
32,pierrese_aetyr,4,17,3,False,False,False,0.9285714285714286,4.25,5.666666666666667,1.3333333333333333
33,daddy_et_faustine,86,250,171,False,False,False,0.8823529411764706,2.9069767441860463,1.4619883040935673,0.5029239766081871
34,coquelicotvoyageur,19,136,23,False,False,False,1.0,7.157894736842105,5.913043478260869,0.8260869565217391
35,une_personne_chiante,178,356,25,True,False,False,0.9,2.0,14.24,7.12
36,jean_denis__,58,673,0,False,False,False,0.75,11.60344827586207,inf,inf
37,shinx.v,56,127,1,False,False,False,0.8571428571428571,2.267857142857143,127.0,56.0
38,gaetangausseres,73,139,99,False,False,False,1.0,1.904109589041096,1.404040404040404,0.7373737373737373
39,gaming_zonegz,12,52,4,False,False,False,0.9230769230769231,4.333333333333333,13.0,3.0
40,zuzur_n_c,65,217,10,True,False,False,0.7777777777777778,3.3384615384615386,21.7,6.5
41,lady_nixval,14,50,10,True,False,False,0.9090909090909091,3.5714285714285716,5.0,1.4
42,lena_meak,50,106,1,False,False,False,0.8888888888888888,2.12,106.0,50.0
43,rockfeverforever,129,197,72,True,False,False,1.0,1.5271317829457365,2.736111111111111,1.7916666666666667
44,live.english.club,999,5428,137,False,False,False,0.8823529411764706,5.433433433433433,39.62043795620438,7.291970802919708
45,louis.boulet.505,83,175,1,False,True,True,0.6875,2.108433734939759,175.0,83.0
46,darciis,26,89,1,False,False,False,1.0,3.423076923076923,89.0,26.0
47,allan_delannoy,73,121,16,False,False,False,0.9285714285714286,1.6575342465753424,7.5625,4.5625
48,lennyyy.flh,189,267,1,True,False,False,0.9090909090909091,1.4126984126984128,267.0,189.0
49,teafizproject,10,25,0,False,False,False,1.0,2.5,inf,inf
